country,year,award_category,rank_no,score,process,total_value,weight_kg,acidity_str_agg,aroma_flavor_str_agg,other_str_agg,overall_str_agg,characteristics_str_agg
peru,2017,coe,4,90.41,,6312.87,,"tartaric,crisp,complex,refreshing,white grape","sweet lime,vanilla,wildflower honey,rose,jasmine,bergamot,floral,white grape,lime blossom,blueberry,chamomile,verbena,peach,plum rose tea,coffee blossom,passionfruit","green tea,first flush bergamot,elegant,exotic,multidimensional","green tea,first flush bergamot,elegant,exotic,multidimensional","green tea,first flush bergamot,elegant,exotic,multidimensional"
peru,2017,coe,14,87.18,,11499.32,,"apple,cranberry,chocolate yes,milk chocolate,apple,molasses,honey,plum,florals,sugarcane sweet","apple,cranberry,chocolate yes,milk chocolate,apple,molasses,honey,plum,florals,sugarcane sweet","juicy,dense body,balanced,crispy,creamy","juicy,dense body,balanced,crispy,creamy","juicy,dense body,balanced,crispy,creamy"
peru,2017,coe,5,90.11,,7342.79,,"malic,tartaric,winey,complex,sparkling,effervescent,snappy","umami,passionfruit,sweet pepper,raisin,golden raisin,chili sweet peru,tropical fruit,vanilla,honey,refined,cherry,guava,wildflower,blueberry,blackberry,white grape,physalis,orange tart","juicy,consistent,centered,brown sugar,well structured","juicy,consistent,centered,brown sugar,well structured","juicy,consistent,centered,brown sugar,well structured"
peru,2017,coe,8,88.7,,9683.39,,"citric,tartaric,malic,crisp,bright,viscous","peach,blackberry,cranberry,papaya,red grape,orange,honey,pear,apple,cocoa,blackcurrant,rhubarb,cherry,orange peel,lychee","balanced,complex,creamy,silken,consistent,cherry,cocoa,bittersweet chocolate,lime","balanced,complex,creamy,silken,consistent,cherry,cocoa,bittersweet chocolate,lime","balanced,complex,creamy,silken,consistent,cherry,cocoa,bittersweet chocolate,lime"
peru,2017,coe,12,87.3,,7220.2,,"tartaric,tartaric,bright,juicy refreshing,phosphoric","jasmine,muscat,black currant,red grape,red apple,apricot,peach,plumbs,cacao","silky mouthfeel,transparent,juicy,delicate,crisp","silky mouthfeel,transparent,juicy,delicate,crisp","silky mouthfeel,transparent,juicy,delicate,crisp"
peru,2017,coe,9,88.68,,7130.55,,"citric,phosphoric,orange,kiwi,refined,structured,sugar sweet,rich,round acidity,mouthfeel","mandarin,cocoa,honey,winy,juicy,rosehip,peach,plum,vanilla,macadamia,toffee,gum drops,sugar cane,hazelnut","clear,crystal,consistent,balanced,milky sweet","clear,crystal,consistent,balanced,milky sweet","clear,crystal,consistent,balanced,milky sweet"
peru,2017,coe,2,90.61,,19264.21,,"citric,malic,bright,crisp,juicy,syrupy,sparkling,silky,peach","red fruit,candied,plums,mandarin,floral,coffee flower,dates,berry jam,complex,swiss chocolate,vanilla,yellow apple,crystalline,berry jam","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character"
peru,2017,coe,4,90.41,,7297.11,,"tartaric,crisp,complex,refreshing,white grape","sweet lime,vanilla,wildflower honey,rose,jasmine,bergamot,floral,white grape,lime blossom,blueberry,chamomile,verbena,peach,plum rose tea,coffee blossom,passionfruit","green tea,first flush bergamot,elegant,exotic,multidimensional","green tea,first flush bergamot,elegant,exotic,multidimensional","green tea,first flush bergamot,elegant,exotic,multidimensional"
peru,2017,coe,18,86.16,,17559.9,,"blueberry,pomegranate,red grape,mandarin,black currant,passionfruit,cedar,papaya,sweetest tobacco,maple syrup","blueberry,pomegranate,red grape,mandarin,black currant,passionfruit,cedar,papaya,sweetest tobacco,maple syrup","blueberry,pomegranate,red grape,mandarin,black currant,passionfruit,cedar,papaya,sweetest tobacco,maple syrup","blueberry,pomegranate,red grape,mandarin,black currant,passionfruit,cedar,papaya,sweetest tobacco,maple syrup","blueberry,pomegranate,red grape,mandarin,black currant,passionfruit,cedar,papaya,sweetest tobacco,maple syrup"
peru,2017,coe,10,88.52,,10038.31,,"citric,tartaric,red currant,malic,fresh","vanilla,honey,blackberry,melon,jasmine,mandarin,orange,poached pear,rhubarb,loganberry,lychee,nectar,plum","improved on cool,syrupy mouthfeel,passionfruit,pineapple,orange","improved on cool,syrupy mouthfeel,passionfruit,pineapple,orange","improved on cool,syrupy mouthfeel,passionfruit,pineapple,orange"
peru,2017,coe,1,92.25,,33102.07,,"complex,sparkling,orange,acidity,intense,elegant,apple cider,star fruit","green apple,pineapple,pear,rose,tropical fruit,strawberry,raspberry,dried fruits,orange candy,kumquat,apricot,melon,fig,sweet cheesecake,red jelly,improved on cool","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional"
peru,2017,coe,19,86,,8621.22,,"apple,grape,hard candy,cinnamon,licorice,port wine,strawberry cheesecake","apple,grape,hard candy,cinnamon,licorice,port wine,strawberry cheesecake","apple,grape,hard candy,cinnamon,licorice,port wine,strawberry cheesecake","apple,grape,hard candy,cinnamon,licorice,port wine,strawberry cheesecake","apple,grape,hard candy,cinnamon,licorice,port wine,strawberry cheesecake"
peru,2017,coe,3,90.48,,13968.42,,"lime,malic,crisp,sweet acidity,bright","peach,vanilla,red fruits,cola,cherry coke,grape,white wine,fig,dark chocolate,red wine,muscat,strawberry,stewed fruit,lychee,peach,nectarine,pineapple,black currant","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel"
peru,2017,coe,1,92.25,,37512.73,,"complex,sparkling,orange,acidity,intense,elegant,apple cider,star fruit","green apple,pineapple,pear,rose,tropical fruit,strawberry,raspberry,dried fruits,orange candy,kumquat,apricot,melon,fig,sweet cheesecake,red jelly,improved on cool","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional","silky body,creamy,lingering sweetness,balanced,juicy,persimmon,mouthcoating,emotional coffee,harmonious,multidimensional"
peru,2017,coe,17,86.34,,11009.48,,"crisp,citric,complex,fine","red currants,red apple,sweet orange,black currant,chocolate,cocoa,mandarines,blackberries,caramel,granny smith apple","well balanced,smooth mouthfeel","well balanced,smooth mouthfeel","well balanced,smooth mouthfeel"
peru,2017,coe,2,90.61,,16633.71,,"citric,malic,bright,crisp,juicy,syrupy,sparkling,silky,peach","red fruit,candied,plums,mandarin,floral,coffee flower,dates,berry jam,complex,swiss chocolate,vanilla,yellow apple,crystalline,berry jam","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character","marmalade,dense,compact,honey sweet,smooth mouthfeel,harmonious,integrated,spiced,character"
peru,2017,coe,3,90.48,,12416.45,,"lime,malic,crisp,sweet acidity,bright","peach,vanilla,red fruits,cola,cherry coke,grape,white wine,fig,dark chocolate,red wine,muscat,strawberry,stewed fruit,lychee,peach,nectarine,pineapple,black currant","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel","silky,transparent,lemon peel,buttery,velvety,juicy,orange,orange,candy,lemon juice,round body,caramel"
peru,2017,coe,11,87.43,,7566.31,,"fine,crispy,sparkling,citric,consistent","floral,blackberry,pear,papaya,mandarin,blackcurrant,toffee,muscovado,caramel,chamomile,apple,peach,pineapple","complex,crystal clear","complex,crystal clear","complex,crystal clear"
peru,2017,coe,16,86.55,,7125.35,,"crisp,mandarin,citric,malic,refreshing","black cherry,muscat,dark chocolate,caramel,peach,lemon,green apple,green grape,milk chocolate","complex,balanced,strong body","complex,balanced,strong body","complex,balanced,strong body"
peru,2017,coe,7,89.27,,9687.48,,"complex,phosphoric,tartaric,tangy,malic,citric","jasmine,peach,green grape,orange cherry,blackberry,red wine,black pepper,maple syrup,fig,fresh tobacco,vanilla,tamarind,red apple,honey crisp,flowery","silky texture,perfumed,red grape,balanced,melon,hefty body,balanced,consistent,salko,amazonas","silky texture,perfumed,red grape,balanced,melon,hefty body,balanced,consistent,salko,amazonas","silky texture,perfumed,red grape,balanced,melon,hefty body,balanced,consistent,salko,amazonas"
peru,2017,coe,13,87.27,,7539.84,,"tartaric,malic","vanilla,floral,chocolate,mandarin,cinnamon,black currant,pomegranate,caramel,complete,panela,pear,coconut,cocoa butter,passion fruit,lime tart,tea like,finish,permission,naranjia,perfumed aromatics","smooth mouthfeel,caramel,buttery,creamy body,anise,perfumed","smooth mouthfeel,caramel,buttery,creamy body,anise,perfumed","smooth mouthfeel,caramel,buttery,creamy body,anise,perfumed"
peru,2017,coe,5,90.11,,7194.53,,"malic,tartaric,winey,complex,sparkling,effervescent,snappy","umami,passionfruit,sweet pepper,raisin,golden raisin,chili sweet peru,tropical fruit,vanilla,honey,refined,cherry,guava,wildflower,blueberry,blackberry,white grape,physalis,orange tart","juicy,consistent,centered,brown sugar,well structured","juicy,consistent,centered,brown sugar,well structured","juicy,consistent,centered,brown sugar,well structured"
peru,2017,coe,6,89.77,,37178.67,,"lime,sparkling,bright,tartaric,complex,elegant","floral,peach,blackberry,vanilla,jasmine,meyer lemon,strawberry,rose tea,apricot,raisin,nashy,clean,mandarin,peach,effervescent,honey,coconut,toffee","deep body,balanced,very sweet,aromatic,mint,anise,lemon verbena,elegant,fine","deep body,balanced,very sweet,aromatic,mint,anise,lemon verbena,elegant,fine","deep body,balanced,very sweet,aromatic,mint,anise,lemon verbena,elegant,fine"
peru,2017,coe,15,87.09,,6684,,"citric acid,malic,refreshing acidity,refined","raspberry,pomegranate,plum,red fruits,passionfruit,green apple,blueberry,malt,mandarin","awesome,rich mouthfeel,brown sugar,well balanced","awesome,rich mouthfeel,brown sugar,well balanced","awesome,rich mouthfeel,brown sugar,well balanced"
peru,2018,coe,1,91.08,Washed,19388.49,,"citrus,malic,moderate,balanced,subtle,well balanced,tartaric","raspberry,pomegranate,stewed fruit,peaches,apple,almond,ginger,lemon,grapefruit,caramel,graham cracker","peach,juicy,jammy,syrupy,peach","peach,juicy,jammy,syrupy,peach","peach,juicy,jammy,syrupy,peach"
peru,2018,coe,21,86.31,Washed,6442.47,,"malic,citrus,juicy","chocolate,lavender,peanut brittle,apple,green tea,rich,juicy,well structured,nougat,floral","sweet,crisp,white tea,delicate,chocolate","sweet,crisp,white tea,delicate,chocolate","sweet,crisp,white tea,delicate,chocolate"
peru,2018,coe,11,87.62,Washed,6548.14,,"citric,lemony,bright","floral,tropical fruit,black currant,mandarin and,green tea,nectarine,lavender,floral,citronella,cocoa,sweet,raw honey and raw sugar,lemongrass","elegant,integrated","elegant,integrated","elegant,integrated"
peru,2018,coe,16,87.24,Washed,13188.73,,"tartaric,citric,light","blackberry,orange,sweet,red apple,cherry,molasses,roasted peanut,green tea,honey,black currant","very sweet,and balanced,caramel,red wine","very sweet,and balanced,caramel,red wine","very sweet,and balanced,caramel,red wine"
peru,2018,coe,10,88.2,Washed,7467.52,,"all the acids,tartaric,phosphoric,malic","apple,figs,elderberry,jackfruit,nutmeg,cola,molasses,honey,pear and red wine","viscous,effervescent,lingering,intense,layered,comlex","viscous,effervescent,lingering,intense,layered,comlex","viscous,effervescent,lingering,intense,layered,comlex"
peru,2018,coe,19,86.76,Washed,6339.38,,"tartaric,citric,lemon","chocolate,dark chocolate,white chocolate,raspberry,ginger,peach,granola,honey,jasmine,orange,star fruit,red wine,hibiscus","bergamot,powerful,sweet,syrupy,mango,molasses,improved,dense,balanced","bergamot,powerful,sweet,syrupy,mango,molasses,improved,dense,balanced","bergamot,powerful,sweet,syrupy,mango,molasses,improved,dense,balanced"
peru,2018,coe,18,86.88,Washed,5509.87,,"citric,tartaric,zesty","pomegranate,raisin,caramel,dark chocolate,milk chocolate","dr,pepper,juicy,balanced","dr,pepper,juicy,balanced","dr,pepper,juicy,balanced"
peru,2018,coe,22,86.14,Washed,6021.62,,"malic,citric,buttery mouthfeel,syrupy","raspberry,dark cherry,dark chocolate,milk chocolate,caramel,pear,cinnamon,ginger,lime,floral,fig,molasses",lingering tannic quality,lingering tannic quality,lingering tannic quality
peru,2018,coe,12,87.48,Washed,7122.01,,"tartaric,bright","raspberry,champagne,gooseberry,mandarin,red fruit and molasses","ripe fruits and cherry,fig,caramel,vanilla","ripe fruits and cherry,fig,caramel,vanilla","ripe fruits and cherry,fig,caramel,vanilla"
peru,2018,coe,1,91.08,Washed,17897.03,,,,,,
peru,2018,coe,4,89.43,Washed,18374.51,,"citric,sweet,sparkling,lively,bright","blueberry,honey,chocolatey,viscous,blackberry,rose,plum,green apple,orange,watermelon,caramel","spicy,tamarind,well rounded,clove","spicy,tamarind,well rounded,clove","spicy,tamarind,well rounded,clove"
peru,2018,coe,14,87.38,Washed,6846.01,,"malic,lively,cherry acidity","berries,apricot,honey and,stone fruit,raspberry,clove,ripe peach,intense,chardonnay,cinnamon,caramel,flan,dark chocolate","juicy,buttery,syrah,improved on cool,spiced,sweetness","juicy,buttery,syrah,improved on cool,spiced,sweetness","juicy,buttery,syrah,improved on cool,spiced,sweetness"
peru,2018,coe,2,89.85,Washed,17552.4,,"tartaric,white grape","peach,white chocolate,vanilla,hibiscus,molasses,rum raisin,hazelnut,cinnamon,apple,pomegranate,deep,dark fruit,peach,black cherry,blood orange,papaya","syrupy,polarizing,controversial","syrupy,polarizing,controversial","syrupy,polarizing,controversial"
peru,2018,coe,20,86.67,Washed,5858.1,,"citric,malic","lime juice,pomegranate,white berries,pinot blanc,nutmeg,jasmine,chocolate,almond,honey,sugar syrup,peach tea","green tea,juicy,clean finish,delicate,honey sweetness,ginger cookie","green tea,juicy,clean finish,delicate,honey sweetness,ginger cookie","green tea,juicy,clean finish,delicate,honey sweetness,ginger cookie"
peru,2018,coe,5,89.28,Washed,7539.77,,"citric,lemon lime,crisp,mild","black forest cake,apricot,pineapple,candied,condensed milk,stewed fruit,lime,melon,almond,walnut","creamy,syrupy,balanced,honey,ginger","creamy,syrupy,balanced,honey,ginger","creamy,syrupy,balanced,honey,ginger"
peru,2018,coe,7,88.65,Washed,7026.62,,"complex,malic,phosphoric,tartaric","blackberry,blueberry,passionfruit,honey,peach,apricot,jam,lemon,figs,raw sugar,cherry,black olive,aceituna","delicate,pulpy clean","delicate,pulpy clean","delicate,pulpy clean"
peru,2018,coe,3,89.58,Washed,18420.93,,"very complex,citric,sparkling,full mouth coating","molasses,floral,spice,chamomile,rose,lemon,spicy,chai,lychee,raspberry,red currant,green tea,jasmine,lime,strawberry,sweet spice","rose,floral,milk chocolate,creamy,complex sugars,toffee,pear,cherry cola,bergamot","rose,floral,milk chocolate,creamy,complex sugars,toffee,pear,cherry cola,bergamot","rose,floral,milk chocolate,creamy,complex sugars,toffee,pear,cherry cola,bergamot"
peru,2018,coe,15,87.36,Washed,9294.72,,"citric,orange,lime","tootsie roll,toffee,red currant,green grape,almond,date,cardamom,peach,dark fruit,cherry,red fruit,cherry limeade","mild,bright,well rounded,balanced,good sweetness,good mouthfeel,honey sweetness","mild,bright,well rounded,balanced,good sweetness,good mouthfeel,honey sweetness","mild,bright,well rounded,balanced,good sweetness,good mouthfeel,honey sweetness"
peru,2018,coe,13,87.4,Washed,8084.41,,"malic,orange peel","red apple,pineapple,blood orange,caramel,orange blossom,red berries,red plum,stone fruit,honey","white chocolate,vanilla,long lasting aftertaste,tangy,cranberry","white chocolate,vanilla,long lasting aftertaste,tangy,cranberry","white chocolate,vanilla,long lasting aftertaste,tangy,cranberry"
peru,2018,coe,9,88.23,Washed,14725.26,,"tartaric,tart,green grape,refreshing,lemony,layered","very floral,jasmine,lemongrass,rosehip,hibiscus,lavender,green tea,vanilla,peach","cherry,cascara,velvety mouthfeel","cherry,cascara,velvety mouthfeel","cherry,cascara,velvety mouthfeel"
peru,2018,coe,6,89.2,Washed,7114.5,,"citric,white grape,tartaric","black currant,chocolate,jasmine,passionfruit,molasses,red apple,cardamom,orange blossom,rose,jasmine,popurri,very floral","white wine,complex,pronounced,lemon,lavender,chamomile,lime custard","white wine,complex,pronounced,lemon,lavender,chamomile,lime custard","white wine,complex,pronounced,lemon,lavender,chamomile,lime custard"
peru,2018,coe,17,87.05,Washed,6749.75,,"citric,orange,lime,lime zest,mandarin,effervescent,juicy,carob syrup,peach,elegant","lemon,apricot,white grape,butterscotch","solid citrus,structured,delicate,balanced","solid citrus,structured,delicate,balanced","solid citrus,structured,delicate,balanced"
peru,2018,coe,8,88.45,Washed,9186.04,,"structured,sweet,clove","lime,citric,red grape,zest","lemonade,apricot,spicy,melon,syrupy,prune,raw cacao,cherry,grape jelly,clove","lemonade,apricot,spicy,melon,syrupy,prune,raw cacao,cherry,grape jelly,clove","lemonade,apricot,spicy,melon,syrupy,prune,raw cacao,cherry,grape jelly,clove"
peru,2018,coe,23,86.07,Washed,9490.88,,"bright,malic","caramel,brown sugar,green apple,and chocolate,purple florals,jammy,grape jelly","creamy,viscous,fresh,lively,kiwi,toasted coconut,golden raisin,green apple,and dark flavors integrated","creamy,viscous,fresh,lively,kiwi,toasted coconut,golden raisin,green apple,and dark flavors integrated","creamy,viscous,fresh,lively,kiwi,toasted coconut,golden raisin,green apple,and dark flavors integrated"
peru,2019,coe,1,92.28,Washed,7936.6,179.99891336,"creamy,exotic,very,well balanced,juicy,well rounded,jasmine finish","subtle acidity,effervescent","sweet potato,candied chestnut,raspberry,tropical fruits,jasmine,malt,cola nut,toasted marshmallow,sweet tobacco,black cherry,baked peached,cinnamon,papaya,mango,clove","sweet potato,candied chestnut,raspberry,tropical fruits,jasmine,malt,cola nut,toasted marshmallow,sweet tobacco,black cherry,baked peached,cinnamon,papaya,mango,clove","sweet potato,candied chestnut,raspberry,tropical fruits,jasmine,malt,cola nut,toasted marshmallow,sweet tobacco,black cherry,baked peached,cinnamon,papaya,mango,clove"
peru,2019,coe,6,90.29,Washed,7691.24,400.9980076,"creamy,balanced,juicy,sweet,delicate,transparent","tartaric,malic,citric","mango,molasses,hibiscus,tamarind,black berry,pineapple,peach,green apple,honey,elderflower,red fruits,canned peaches,strawberry","mango,molasses,hibiscus,tamarind,black berry,pineapple,peach,green apple,honey,elderflower,red fruits,canned peaches,strawberry","mango,molasses,hibiscus,tamarind,black berry,pineapple,peach,green apple,honey,elderflower,red fruits,canned peaches,strawberry"
peru,2019,coe,13,88.64,Washed,7389.02,294.00019072,"silky,creamy,round,crisp acidity","juicy,citric,tartaric","inca berry,tangerine,cape gooseberry,caramel,black cherry,floral,bergamot,cocoa nibs,apple mint,grapefruit","inca berry,tangerine,cape gooseberry,caramel,black cherry,floral,bergamot,cocoa nibs,apple mint,grapefruit","inca berry,tangerine,cape gooseberry,caramel,black cherry,floral,bergamot,cocoa nibs,apple mint,grapefruit"
peru,2019,coe,12,88.75,Washed,8629.74,465.9977412,"tangy,creamy body,smooth,well balanced","citric,fine,elegant,juicy,soft","brown sugar,toffee,cinnamon,nectarine,mandarin,grapefruit,floral,kumquat,red apple,peach,tangerine","brown sugar,toffee,cinnamon,nectarine,mandarin,grapefruit,floral,kumquat,red apple,peach,tangerine","brown sugar,toffee,cinnamon,nectarine,mandarin,grapefruit,floral,kumquat,red apple,peach,tangerine"
